Instancia,LB,ILB,TLB,UP,IUP,TUP,GAP,ITER,TIME,OPTG,OPTS
Spd_RF2_500_534_5035,67.32,1,0,152,6,0,84.68,201779,10,0,0
Spd_RF2_500_534_5043,65.75,1,0,151,4,0,85.25,202294,10,0,0
Spd_RF2_500_568_5051,54.07,1,0,132,6,0,77.93,179619,10,0,0
Spd_RF2_500_568_5059,54.4,1,0,137,9,0,82.6,176538,10,0,0
Spd_RF2_500_568_5067,53.65,1,0,139,1,0,85.35,178629,10,0,0
Spd_RF2_500_568_5075,55.1,1,0,136,6,0,80.9,178362,10,0,0
Spd_RF2_500_568_5083,54.16,1,0,134,7,0,79.84,177206,10,0,0
Spd_RF2_500_603_5091,45.58,1,0,132,7,0,86.42,164399,10,0,0
Spd_RF2_500_603_5099,43.85,1,0,125,5,0,81.15,165031,10,0,0
Spd_RF2_500_603_5107,44.44,1,0,129,6,0,84.56,157103,10,0,0
Spd_RF2_500_603_5115,44.05,1,0,130,7,0,85.95,161014,10,0,0
Spd_RF2_500_603_5123,42.02,1,0,125,6,0,82.98,158056,10,0,0
Spd_RF2_500_637_5131,35.72,1,0,122,6,0,86.28,148361,10,0,0
Spd_RF2_500_637_5139,34.93,1,0,118,6,0,83.07,152645,10,0,0
Spd_RF2_500_637_5147,33.92,1,0,114,8,0,80.08,149046,10,0,0
Spd_RF2_500_637_5155,32.74,1,0,119,6,0,86.26,148942,10,0,0
Spd_RF2_500_637_5163,33.47,1,0,115,4,0,81.53,132805,10,0,0
Spd_RF2_500_672_5171,27.69,1,0,115,6,0,87.31,122371,10,0,0
Spd_RF2_500_672_5179,26.1,1,0,115,9,0,88.9,12759,10,0,0
Spd_RF2_500_672_5187,22.76,1,0,112,7,0,89.24,126575,10,0,0
Spd_RF2_500_672_5195,26.18,1,0,115,6,0,88.82,130798,10,0,0
Spd_RF2_500_672_5203,24.83,1,0,109,6,0,84.17,130409,10,0,0
Spd_RF2_60_107_1131,-1.63,10,0,8,254683,2,9.63,1045874,10,0,0
Spd_RF2_60_107_1139,-0.72,15,0,7,336387,3,7.72,1092371,10,0,0
Spd_RF2_60_107_1147,-1.15,22,0,7,87412,0,8.15,1043517,10,0,0
Spd_RF2_60_107_1155,-1.28,14,0,9,394745,3,10.28,1079869,10,0,0
Spd_RF2_60_107_1163,-0.42,17,0,7,290289,2,7.42,1086123,10,0,0
Spd_RF2_60_119_1171,-1.31,16,0,8,280434,2,9.31,957163,10,0,0
Spd_RF2_60_119_1179,-0.97,37,0,8,12,0,8.97,954633,10,0,0
Spd_RF2_60_119_1187,-0.73,23,0,8,908076,9,8.73,920357,10,0,0
Spd_RF2_60_119_1195,-0.35,23,0,9,11701,0,9.35,916391,10,0,0
Spd_RF2_60_119_1203,-1.18,28,0,9,9,0,10.18,923951,10,0,0
Spd_RF2_60_71_1011,4.56,1,0,12,1,0,7.44,2709224,10,0,0
Spd_RF2_60_71_1019,5.24,1,0,15,6,0,9.76,1764949,10,0,0
Spd_RF2_60_71_1027,5.04,1,0,14,2,0,8.96,2676691,10,0,0
Spd_RF2_60_71_1035,4.45,1,0,13,1,0,8.55,1803424,10,0,0
Spd_RF2_60_71_1043,5.74,1,0,16,2,0,10.26,1798516,10,0,0
Spd_RF2_60_83_1051,1.97,1,0,13,1,0,11.03,1420671,10,0,0
Spd_RF2_60_83_1059,1.82,1,0,11,0,0,9.18,1330301,12,0,0
Spd_RF2_60_83_1067,1.97,1,0,13,9,0,11.03,1451879,10,0,0
Spd_RF2_60_83_1075,3.02,1,0,12,426672,2,8.98,1587802,10,0,0
Spd_RF2_60_83_1083,1.82,1,0,11,3,0,9.18,1624967,10,0,0
Spd_RF2_60_95_1091,-0.3,3,0,9,143702,1,9.3,1440071,10,0,0
Spd_RF2_60_95_1099,0.4,7,0,9,1,0,8.6,1421818,10,0,0
Spd_RF2_60_95_1107,-0.59,8,0,8,81329,0,8.59,1310446,10,0,0
Spd_RF2_60_95_1115,0.12,1,0,10,121,0,9.88,1335588,10,0,0
Spd_RF2_60_95_1123,0.03,7,0,9,73081,0,8.97,1387172,10,0,0
Spd_RF2_80_106_1451,3.42,1,0,16,4,0,12.58,1232076,10,0,0
Spd_RF2_80_106_1459,3.78,1,0,16,0,0,12.22,1239669,10,0,0
Spd_RF2_80_106_1467,3.8,1,0,17,22648,0,13.2,1254973,10,0,0
Spd_RF2_80_106_1475,3.82,1,0,16,77614,0,12.18,1292696,10,0,0
Spd_RF2_80_106_1483,3.91,1,0,16,9,0,12.09,1298474,10,0,0
Spd_RF2_80_120_1491,0.49,5,0,13,36572,0,12.51,1070541,10,0,0
Spd_RF2_80_120_1499,0.71,1,0,15,73508,0,14.29,689983,204,0,0
Spd_RF2_80_120_1507,0.81,3,0,14,1,0,13.19,843046,10,0,0
Spd_RF2_80_120_1515,2.06,3,0,16,107363,0,13.94,1031196,10,0,0
Spd_RF2_80_120_1523,1.36,3,0,15,97732,0,13.64,1056784,10,0,0
Spd_RF2_80_133_1531,-0.58,7,0,12,6,0,12.58,907110,10,0,0
Spd_RF2_80_133_1539,-1.11,7,0,13,48611,0,14.11,713021,10,0,0
Spd_RF2_80_133_1547,-1.11,3,0,14,2,0,15.11,620649,10,0,0
Spd_RF2_80_133_1555,-0.49,12,0,10,6,0,10.49,951915,10,0,0
Spd_RF2_80_133_1563,0.1,10,0,14,6,0,13.9,671117,10,0,0
Spd_RF2_80_147_1571,-1.53,13,0,11,6,0,12.53,609100,10,0,0
Spd_RF2_80_147_1579,-0.71,28,0,11,436231,5,11.71,791276,10,0,0
Spd_RF2_80_147_1587,-1.58,20,0,11,175173,3,12.58,573032,10,0,0
Spd_RF2_80_147_1595,-1.13,23,0,12,128534,1,13.13,1013819,10,0,0
Spd_RF2_80_147_1603,-0.52,22,0,12,7,0,12.52,1032850,10,0,0
Spd_RF2_80_93_1411,6.96,1,0,18,1,0,11.04,1194253,10,0,0
Spd_RF2_80_93_1419,7.09,1,0,20,3,0,12.91,1951815,10,0,0
Spd_RF2_80_93_1427,7.01,1,0,19,1,0,11.99,1951236,10,0,0
Spd_RF2_80_93_1435,7.02,1,0,18,6,0,10.98,276101,10,0,0
Spd_RF2_80_93_1443,7.23,1,0,20,6,0,12.77,189315,10,0,0
,,,,,,,,,,1,
